Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,79.6,100.0,50.0,10.0
HEAD_A,5.0,79.8,100.0,50.0,10.0
HEAD_A,5.0,80.0,100.0,50.0,10.0
HEAD_A,5.0,80.2,100.0,50.0,10.0
HEAD_A,5.0,80.4,100.0,50.0,10.0
HEAD_A,5.0,80.6,100.0,50.0,10.0
HEAD_A,5.0,80.8,100.0,50.0,10.0
HEAD_A,5.0,81.0,100.0,50.0,10.0
HEAD_A,5.0,81.2,100.0,50.0,10.0
HEAD_A,5.0,81.4,100.0,50.0,10.0
HEAD_A,5.0,81.6,100.0,50.0,10.0
HEAD_A,5.0,81.8,100.0,50.0,10.0
HEAD_A,5.0,82.0,100.0,50.0,10.0
HEAD_A,5.0,82.2,100.0,50.0,10.0
HEAD_A,5.0,82.4,100.0,50.0,10.0
HEAD_A,5.0,82.6,100.0,50.0,10.0
HEAD_A,5.0,82.8,100.0,50.0,10.0
HEAD_A,5.0,83.0,100.0,50.0,10.0
HEAD_A,5.0,83.2,100.0,50.0,10.0
HEAD_A,5.0,83.4,100.0,50.0,10.0
HEAD_A,5.0,83.6,100.0,50.0,10.0
HEAD_A,5.0,83.8,100.0,50.0,10.0
HEAD_A,5.0,84.0,100.0,50.0,10.0
HEAD_A,5.0,84.2,100.0,50.0,10.0
HEAD_A,5.0,84.4,100.0,50.0,10.0
HEAD_A,5.0,84.6,100.0,50.0,10.0
HEAD_A,5.0,84.8,100.0,50.0,10.0
HEAD_A,5.0,85.0,100.0,50.0,10.0
HEAD_A,5.0,85.2,100.0,50.0,10.0
HEAD_A,5.0,85.4,100.0,50.0,10.0
HEAD_A,5.0,85.6,100.0,50.0,10.0
HEAD_A,5.0,85.8,100.0,50.0,10.0
HEAD_A,5.0,86.0,100.0,50.0,10.0
HEAD_A,5.0,86.2,100.0,50.0,10.0
HEAD_A,5.0,86.4,100.0,50.0,10.0
HEAD_A,5.0,86.6,100.0,50.0,10.0
HEAD_A,5.0,86.8,100.0,50.0,10.0
HEAD_A,5.0,87.0,100.0,50.0,10.0
HEAD_A,5.0,87.2,100.0,50.0,10.0
HEAD_A,5.0,87.4,100.0,50.0,10.0
HEAD_A,5.0,87.6,100.0,50.0,10.0
HEAD_A,5.0,87.8,100.0,50.0,10.0
HEAD_A,5.0,88.0,100.0,50.0,10.0
HEAD_A,5.0,88.2,100.0,50.0,10.0
HEAD_A,5.0,88.4,100.0,50.0,10.0
HEAD_A,5.0,88.6,100.0,50.0,10.0
HEAD_A,5.0,88.8,100.0,50.0,10.0
HEAD_A,5.0,89.0,100.0,50.0,10.0
HEAD_A,5.0,89.2,100.0,50.0,10.0
HEAD_A,5.0,89.4,100.0,50.0,10.0
HEAD_A,5.0,89.6,100.0,50.0,10.0
HEAD_A,5.0,89.8,100.0,50.0,10.0
HEAD_A,5.0,90.0,100.0,50.0,10.0
HEAD_A,5.0,90.2,100.0,50.0,10.0
HEAD_A,5.0,90.4,100.0,50.0,10.0
HEAD_A,5.0,90.6,100.0,50.0,10.0
HEAD_A,5.0,90.8,100.0,50.0,10.0
HEAD_A,5.0,91.0,100.0,50.0,10.0
HEAD_A,5.0,91.2,100.0,50.0,10.0
HEAD_A,5.0,91.4,100.0,50.0,10.0
HEAD_A,5.0,91.6,100.0,50.0,10.0
HEAD_A,5.0,91.8,100.0,50.0,10.0
HEAD_A,5.0,92.0,100.0,50.0,10.0
HEAD_A,5.0,92.2,100.0,50.0,10.0
HEAD_A,5.0,92.4,100.0,50.0,10.0
HEAD_A,5.0,92.6,100.0,50.0,10.0
HEAD_A,5.0,92.8,100.0,50.0,10.0
HEAD_A,5.0,93.0,100.0,50.0,10.0
HEAD_A,5.0,93.2,100.0,50.0,10.0
HEAD_A,5.0,93.4,100.0,50.0,10.0
HEAD_A,5.0,93.6,100.0,50.0,10.0
HEAD_A,5.0,93.8,100.0,50.0,10.0
HEAD_A,5.0,94.0,100.0,50.0,10.0
HEAD_A,5.0,94.2,100.0,50.0,10.0
HEAD_A,5.0,94.4,100.0,50.0,10.0
HEAD_A,5.0,94.6,100.0,50.0,10.0
HEAD_A,5.0,94.8,100.0,50.0,10.0
HEAD_A,5.0,95.0,100.0,50.0,10.0
HEAD_A,5.0,95.2,100.0,50.0,10.0
HEAD_A,5.0,95.4,100.0,50.0,10.0
HEAD_A,5.0,95.6,100.0,50.0,10.0
HEAD_A,5.0,95.8,100.0,50.0,10.0
HEAD_A,5.0,96.0,100.0,50.0,10.0
HEAD_A,5.0,96.2,100.0,50.0,10.0
HEAD_A,5.0,96.4,100.0,50.0,10.0
HEAD_A,5.0,96.6,100.0,50.0,10.0
HEAD_A,5.0,96.8,100.0,50.0,10.0
HEAD_A,5.0,97.0,100.0,50.0,10.0
HEAD_A,5.0,97.2,100.0,50.0,10.0
HEAD_A,5.0,97.4,100.0,50.0,10.0
HEAD_A,5.0,97.6,100.0,50.0,10.0
HEAD_A,5.0,97.8,100.0,50.0,10.0
HEAD_A,5.0,98.0,100.0,50.0,10.0
HEAD_A,5.0,98.2,100.0,50.0,10.0
HEAD_A,5.0,98.4,100.0,50.0,10.0
HEAD_A,5.0,98.6,100.0,50.0,10.0
HEAD_A,5.0,98.8,100.0,50.0,10.0
HEAD_A,5.0,99.0,100.0,50.0,10.0
HEAD_A,5.0,99.2,100.0,50.0,10.0
HEAD_A,5.0,99.4,100.0,50.0,10.0
HEAD_A,5.0,99.6,100.0,50.0,10.0
HEAD_A,5.0,99.8,100.0,50.0,10.0
HEAD_A,5.0,100.0,100.0,50.0,10.0
HEAD_A,5.0,100.2,100.0,50.0,10.0
HEAD_A,5.0,100.4,100.0,50.0,10.0
HEAD_A,5.0,100.6,100.0,50.0,10.0
HEAD_A,5.0,100.8,100.0,50.0,10.0
HEAD_A,5.0,101.0,100.0,50.0,10.0
HEAD_A,5.0,101.2,100.0,50.0,10.0
HEAD_A,5.0,101.4,100.0,50.0,10.0
HEAD_A,5.0,101.6,100.0,50.0,10.0
HEAD_A,5.0,101.8,100.0,50.0,10.0
HEAD_A,5.0,102.0,100.0,50.0,10.0
